Volume_Fraction,Volume_Fraction_Percent,Thermal_Maxwell_WperMk,Thermal_Nan_WperMk,Thermal_Series_WperMk,Thermal_Parallel_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,0.2619,0.3374,0.2540,1.0355
0.0316,3.1579,0.2741,0.4447,0.2581,1.8211
0.0474,4.7368,0.2867,0.5733,0.2624,2.6066
0.0632,6.3158,0.2998,0.7202,0.2668,3.3921
0.0789,7.8947,0.3133,0.8925,0.2713,4.1776
0.0947,9.4737,0.3272,1.1012,0.2760,4.9632
0.1105,11.0526,0.3416,1.3035,0.2809,5.7487
0.1263,12.6316,0.3566,1.5395,0.2859,6.5342
0.1421,14.2105,0.3721,1.8053,0.2912,7.3197
0.1579,15.7895,0.3882,2.0861,0.2966,8.1053
0.1737,17.3684,0.4048,2.3715,0.3022,8.8908
0.1895,18.9474,0.4221,2.7201,0.3081,9.6763
0.2053,20.5263,0.4401,3.0873,0.3142,10.4618
0.2211,22.1053,0.4588,3.4598,0.3205,11.2474
0.2368,23.6842,0.4782,3.8389,0.3271,12.0329
0.2526,25.2632,0.4985,4.2379,0.3339,12.8184
0.2684,26.8421,0.5196,4.7752,0.3411,13.6039
0.2842,28.4211,0.5417,5.1099,0.3486,14.3895
0.3000,30.0000,0.5647,5.6156,0.3564,15.1750
