Volume_Fraction,Volume_Fraction_Percent,Thermal_Maxwell_WperMk,Thermal_Nan_WperMk,Thermal_Series_WperMk,Thermal_Parallel_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,0.2560,0.2500,0.2530,0.2618
0.0316,3.1579,0.2620,0.2500,0.2561,0.2737
0.0474,4.7368,0.2682,0.2500,0.2592,0.2855
0.0632,6.3158,0.2745,0.2501,0.2624,0.2974
0.0789,7.8947,0.2808,0.2505,0.2657,0.3092
0.0947,9.4737,0.2873,0.2554,0.2691,0.3211
0.1105,11.0526,0.2939,0.2715,0.2726,0.3329
0.1263,12.6316,0.3006,0.2970,0.2762,0.3447
0.1421,14.2105,0.3074,0.3243,0.2798,0.3566
0.1579,15.7895,0.3143,0.3486,0.2836,0.3684
0.1737,17.3684,0.3213,0.3689,0.2874,0.3803
0.1895,18.9474,0.3285,0.3860,0.2914,0.3921
0.2053,20.5263,0.3358,0.4008,0.2955,0.4039
0.2211,22.1053,0.3432,0.4142,0.2997,0.4158
0.2368,23.6842,0.3507,0.4269,0.3040,0.4276
0.2526,25.2632,0.3584,0.4392,0.3084,0.4395
0.2684,26.8421,0.3663,0.4512,0.3130,0.4513
0.2842,28.4211,0.3742,0.4630,0.3177,0.4632
0.3000,30.0000,0.3824,0.4749,0.3226,0.4750
