Volume_Fraction,Volume_Fraction_Percent,Thermal_Maxwell_WperMk,Thermal_Nan_WperMk,Thermal_Series_WperMk,Thermal_Parallel_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,0.2620,1.4063,0.2540,31.8250
0.0316,3.1579,0.2744,3.5283,0.2582,63.4000
0.0474,4.7368,0.2873,6.5754,0.2624,94.9750
0.0632,6.3158,0.3005,10.8382,0.2669,126.5500
0.0789,7.8947,0.3143,15.9340,0.2714,158.1250
0.0947,9.4737,0.3285,22.0042,0.2762,189.7000
0.1105,11.0526,0.3432,28.6737,0.2811,221.2750
0.1263,12.6316,0.3584,36.8981,0.2861,252.8500
0.1421,14.2105,0.3742,45.4938,0.2914,284.4250
0.1579,15.7895,0.3906,54.7804,0.2969,316.0000
0.1737,17.3684,0.4076,65.0751,0.3025,347.5750
0.1895,18.9474,0.4252,79.7552,0.3084,379.1500
0.2053,20.5263,0.4436,92.5421,0.3146,410.7250
0.2211,22.1053,0.4627,106.3130,0.3209,442.3000
0.2368,23.6842,0.4826,120.3561,0.3276,473.8750
0.2526,25.2632,0.5034,137.5301,0.3345,505.4500
0.2684,26.8421,0.5250,150.7536,0.3417,537.0250
0.2842,28.4211,0.5476,170.1554,0.3492,568.6000
0.3000,30.0000,0.5713,187.9830,0.3571,600.1750
