Volume_Fraction,Volume_Fraction_Percent,Thermal_Maxwell_WperMk,Thermal_Nan_WperMk,Thermal_Series_WperMk,Thermal_Parallel_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,0.2620,1.7968,0.2540,47.6145
0.0316,3.1579,0.2745,4.7790,0.2582,94.9789
0.0474,4.7368,0.2873,9.2535,0.2624,142.3434
0.0632,6.3158,0.3005,15.3003,0.2669,189.7079
0.0789,7.8947,0.3143,22.5386,0.2714,237.0724
0.0947,9.4737,0.3285,31.2862,0.2762,284.4368
0.1105,11.0526,0.3432,42.1560,0.2811,331.8013
0.1263,12.6316,0.3584,54.4260,0.2861,379.1658
0.1421,14.2105,0.3742,67.6036,0.2914,426.5303
0.1579,15.7895,0.3906,82.3688,0.2969,473.8947
0.1737,17.3684,0.4076,98.4592,0.3025,521.2592
0.1895,18.9474,0.4253,116.0424,0.3084,568.6237
0.2053,20.5263,0.4436,135.3719,0.3146,615.9882
0.2211,22.1053,0.4628,155.6543,0.3209,663.3526
0.2368,23.6842,0.4827,176.2861,0.3276,710.7171
0.2526,25.2632,0.5034,201.3187,0.3345,758.0816
0.2684,26.8421,0.5251,225.7952,0.3417,805.4461
0.2842,28.4211,0.5477,253.9672,0.3493,852.8105
0.3000,30.0000,0.5713,277.5909,0.3571,900.1750
